id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct;slip_no;pay_order_number
1;Lola;Rogahn;Lily.Kihn75@yahoo.com;repurpose withdrawal;2023-11-05T01:24:26;71697;45464;15435;64912
2;Betsy;Langosh;Frances64@gmail.com;California silver;2023-11-05T05:40:57;783;27282;58937;26945
3;Branson;Botsford;Sterling_Rau59@yahoo.com;backing;2023-11-04T19:42:04;48992;47489;37739;18713
4;Otilia;Hintz;Antonina_Turner@gmail.com;synergy Albania;2023-11-04T18:35:03;80529;94809;56135;12636
5;Jensen;Kiehn;Brian11@gmail.com;open-source;2023-11-05T03:08:52;73893;65341;53478;44379
6;Freeda;Harris;Tremaine.Ruecker@hotmail.com;Soap;2023-11-04T08:41:16;15970;72993;41375;25912
7;Chandler;Wehner;Zaria_Lebsack@yahoo.com;lavender Plastic;2023-11-05T05:28:22;52896;63673;50881;96170
8;Keith;Frami;Antonio67@gmail.com;North bluetooth Bike;2023-11-05T03:13:27;43323;90189;81327;601
9;Name;Dibbert;Dagmar_Farrell4@gmail.com;Mandatory Alaska;2023-11-04T17:20:41;9465;5509;90533;32637
10;Asa;Cummerata;Dasia.OHara@yahoo.com;deposit;2023-11-04T16:35:16;93711;52100;16882;29075
